date,anjuke_wow_pct,lianjia_wow_pct,listing_wow_change,trend_4w,has_anomaly,anomaly_msg
2026-06-27,,0.0,,数据不足,False,
2026-06-27,,0.0,,数据不足,False,
2026-06-27,,0.0,,数据不足,False,
2026-06-27,,0.0,,数据不足,False,
2026-07-04,,-0.87,,数据不足,False,
2026-07-11,,0.0,,近4周保持平稳，波动不超过 ±1%,False,
2026-07-18,,0.0,,近4周保持平稳，波动不超过 ±1%,False,
2026-07-25,,0.0,,近4周保持平稳，波动不超过 ±1%,False,
2026-08-01,,-0.13,,近4周保持平稳，波动不超过 ±1%,False,
2026-08-08,,0.0,,近4周保持平稳，波动不超过 ±1%,False,
2026-08-15,,0.0,,近4周保持平稳，波动不超过 ±1%,False,
